Title,index,Author,Type of Ban,Secondary Author(s),Illustrator(s),Translator(s),State,District,Date of Challenge/Removal,Origin of Challenge,Rating,Number of Reviews
Dreaming in Cuban,728,"García, Cristina",Banned Pending Investigation,nan,nan,nan,Florida,Walton County School District,April 2022,Administrator,3.68,11673.0
Drum Dream Girl: How One Girl's Courage Changed Music,610,"Engle, Margarita",Banned Pending Investigation,nan,"López, Rafael",nan,Florida,Duval County Public Schools,January 2022,Administrator,4.27,3658.0
Drum Dream Girl: How One Girl's Courage Changed Music,611,"Engle, Margarita",Banned in Classrooms,nan,Rafael López,nan,Pennsylvania,Central York School District,August 2021,Administrator,4.27,3658.0
Duels and Deception,106,"Anstey, Cindy",Banned in Libraries,nan,nan,nan,Texas,Katy Independent School District,April 2022,Administrator,3.67,2335.0
Duke Ellington: The Piano Prince and His Orchestra,1864,"Pinkney, Andrea Davis",Banned in Classrooms,nan,"Pinkney, Brian",nan,Pennsylvania,Central York School District,August 2021,Administrator,4.16,3410.0
Dumpling Soup,1914,"Rattigan, Jama Kim",Banned Pending Investigation,nan,"Hsu-Flanders, Lillian",nan,Florida,Duval County Public Schools,January 2022,Administrator,4.04,222.0
Each Kindness,2500,"Woodson, Jacqueline",Banned in Classrooms,nan,"Lewis, E.B.",nan,Pennsylvania,Central York School District,August 2021,Administrator,4.43,7425.0
Each of Us a Desert,1762,"Oshiro, Mark",Banned Pending Investigation,nan,nan,nan,Tennessee,Collierville Schools,February 2022,Administrator,3.85,1429.0
Each of Us a Desert,1763,"Oshiro, Mark",Banned Pending Investigation,nan,nan,nan,Texas,North East Independent School District,December 2021,Administrator,3.85,1429.0
Eagle Feather,308,"Bulla, Clyde Robert",Banned Pending Investigation,nan,Tom Two Arrows,nan,Florida,Duval County Public Schools,January 2022,Administrator,4.5,239.0
Eagle Song,296,"Bruchac, Joseph",Banned Pending Investigation,nan,"Andreasen, Dan",nan,Florida,Duval County Public Schools,January 2022,Administrator,4.18,11.0
Early Sunday Morning,1591,"Millner, Denene",Banned Pending Investigation,nan,"Brantley-Newton, Vanessa",nan,Florida,Duval County Public Schools,January 2022,Administrator,3.85,3762.0
Early Sunday Morning,1592,"Millner, Denene",Banned in Classrooms,nan,"Brantley-Newton, Vanessa",nan,Pennsylvania,Central York School District,August 2021,Administrator,3.85,3762.0
Eclipse (Twilight Series),1563,"Meyer, Stephenie",Banned in Libraries,nan,nan,nan,Oklahoma,Bristow Public Schools,October 2021,Administrator,4.23,71.0
Edie in Between,2140,"Sibson, Laura",Banned Pending Investigation,nan,nan,nan,Tennessee,Collierville Schools,February 2022,Administrator,3.59,460.0
El Día En Que Descubres Quién Eres,2501,"Woodson, Jacqueline",Banned in Classrooms,nan,"López, Rafael","Mlawer, Teresa",Pennsylvania,Central York School District,August 2021,Administrator,4.44,11509.0
El color de la piel,1296,"La Grotteria, Coni",Banned in Classrooms,nan,"Pereda, Laura",nan,Pennsylvania,Central York School District,August 2021,Administrator,3.89,81.0
Eleanor & Park,2007,"Rowell, Rainbow",Banned in Libraries,nan,nan,nan,Florida,Indian River County School District,November 2021,Administrator,3.94,1173940.0
Eleanor & Park,2008,"Rowell, Rainbow",Banned in Libraries and Classrooms,nan,nan,nan,Idaho,Nampa School District,May 2022,Administrator,3.94,1173940.0
Eleanor & Park,2009,"Rowell, Rainbow",Banned in Libraries,nan,nan,nan,Mississippi,Madison County Schools,April 2022,Administrator,3.94,1173940.0
Eleanor & Park,2010,"Rowell, Rainbow",Banned in Libraries,nan,nan,nan,Tennessee,Wilson County School District,March 2022,Other,3.94,1173940.0
Eleanor & Park,2011,"Rowell, Rainbow",Banned in Libraries and Classrooms,nan,nan,nan,Texas,Fredericksburg Independent School District,March 2022,Administrator,3.94,1173940.0
Elevation,1210,"King, Stephen",Banned Pending Investigation,nan,nan,nan,Tennessee,Collierville Schools,February 2022,Administrator,3.64,137140.0
"Elizabeth Blackwell, the First Woman Doctor",2033,"Sabin, Francene",Banned in Classrooms,nan,"Early Macken, JoAnn",nan,Pennsylvania,Central York School District,August 2021,Administrator,3.97,39.0
Empire of Storms (Throne of Glass Series),1447,"Maas, Sarah J.",Banned Pending Investigation,nan,nan,nan,Florida,Brevard Public Schools,May 2022,Administrator,4.69,24453.0
Empty,2437,"Walton, K. M.",Banned in Libraries and Classrooms,nan,nan,nan,Florida,Indian River County School District,November 2021,Administrator,3.79,37796.0
En Comunidad: Lessons for Centering the Voices and Experiences of Bilingual Latinx Students,615,"España, Carla",Banned in Classrooms,"Yadira Herrera, Luz",nan,nan,Pennsylvania,Central York School District,August 2021,Administrator,4.57,85.0
En el bosque,2253,"Stevenson, Robin",Banned Pending Investigation,nan,nan,nan,Texas,North East Independent School District,December 2021,Administrator,3.65,1884.0
Encyclopedia of Sex & Gender: 4 Volume Set,1465,"Malti-Douglas, Fedwa",Banned Pending Investigation,nan,nan,nan,Tennessee,Collierville Schools,February 2022,Administrator,4.13,239.0
Enough! 20 Protesters Who Changed America,593,"Easton, Emily",Banned in Classrooms,nan,"Chen, Ziyue",nan,Pennsylvania,Central York School District,August 2021,Administrator,4.18,287.0
Equal Rights,1741,"O'Connor, Maureen",Banned Pending Investigation,nan,nan,nan,Texas,Granbury Independent School District,January 2022,Administrator,3.97,1203.0
Equal Rights,1742,"O'Connor, Maureen",Banned Pending Investigation,nan,nan,nan,Texas,North East Independent School District,December 2021,Administrator,3.97,1203.0
Esperanza Rising,2026,"Ryan, Pam Muñoz",Banned Pending Investigation,nan,nan,nan,Texas,Katy Independent School District,January 2022,Administrator,4.03,102872.0
"Etched in Clay: The Life of Dave, Enslaved Potter and Poet",378,"Cheng, Andrea",Banned in Libraries,nan,nan,nan,Texas,Katy Independent School District,January 2022,Administrator,4.0,291.0
Everybody Sees the Ants,1207,"King, A. S.",Banned in Libraries,nan,nan,nan,Indiana,Middlebury Community Schools,December 2021,Administrator,3.99,13529.0
Everybody Sees the Ants,1208,"King, A. S.",Banned in Classrooms,nan,nan,nan,Texas,Richardson Independent School District,September 2021,Administrator,3.99,13529.0
Everyday Antiracism: Getting Real About Race in School,1882,"Pollock, Mica",Banned in Classrooms,nan,nan,nan,Pennsylvania,Central York School District,August 2021,Administrator,4.3,579.0
Everything Leads to You,1300,"LaCour, Nina",Banned Pending Investigation,nan,nan,nan,Texas,North East Independent School District,December 2021,Administrator,3.84,33961.0
Everything You Love Will Burn: Inside the Rebirth of White Nationalism in America,2325,"Tenold, Vegas",Banned Pending Investigation,nan,nan,nan,Texas,Klein Independent School District,December 2021,Administrator,3.78,1070.0
Everything You Love Will Burn: Inside the Rebirth of White Nationalism in America,2326,"Tenold, Vegas",Banned Pending Investigation,nan,nan,nan,Texas,North East Independent School District,December 2021,Administrator,3.78,1070.0
Everywhere Babies,1564,"Meyers, Susan",Banned Pending Investigation,nan,"Frazee, Marla",nan,Florida,Lee County Schools,March 2022,Administrator,4.36,2292.0
Everywhere Babies,1565,"Meyers, Susan",Banned Pending Investigation,nan,"Frazee, Marla",nan,Florida,St. Lucie Public Schools,January 2022,Formal Challenge,4.36,2292.0
Everywhere Babies,1566,"Meyers, Susan",Banned Pending Investigation,nan,"Frazee, Marla",nan,Florida,Walton County School District,April 2022,Administrator,4.36,2292.0
"Exit, Pursued by a Bear",1114,"Johnston, E. K.",Banned in Libraries and Classrooms,nan,nan,nan,Florida,Indian River County School District,November 2021,Administrator,3.91,12131.0
Exquisite: The Poetry and Life of Gwendolyn Brooks,2172,"Slade, Suzanne",Banned in Classrooms,nan,"Cabrera, Cozbi A.",nan,Pennsylvania,Central York School District,August 2021,Administrator,4.38,993.0
Extra Credit,405,"Clements, Andrew",Banned Pending Investigation,nan,"Elliott, Mark",nan,Florida,Duval County Public Schools,January 2022,Administrator,4.17,11603.0
Extremely Loud & Incredibly Close,689,"Foer, Jonathan Safran",Banned in Libraries,nan,nan,nan,Florida,Indian River County School District,November 2021,Administrator,3.97,421458.0
Extremely Loud & Incredibly Close,690,"Foer, Jonathan Safran",Banned in Libraries,nan,nan,nan,Florida,Lee County Schools,May 2022,Administrator,3.97,421458.0
Extremely Loud & Incredibly Close,691,"Foer, Jonathan Safran",Banned in Libraries,nan,nan,nan,Florida,Polk County Public Schools,January 2022,Administrator,3.97,421458.0
Extremely Loud & Incredibly Close,692,"Foer, Jonathan Safran",Banned in Libraries,nan,nan,nan,Florida,St. Lucie Public Schools,January 2022,Formal Challenge,3.97,421458.0
Extremely Loud & Incredibly Close,693,"Foer, Jonathan Safran",Banned Pending Investigation,nan,nan,nan,Florida,Walton County School District,April 2022,Administrator,3.97,421458.0
Extremely Loud & Incredibly Close,694,"Foer, Jonathan Safran",Banned in Libraries and Classrooms,nan,nan,nan,Idaho,Nampa School District,May 2022,Administrator,3.97,421458.0
Extremely Loud & Incredibly Close,695,"Foer, Jonathan Safran",Banned Pending Investigation,nan,nan,nan,Michigan,Gladwin Community Schools,May 2022,Administrator,3.97,421458.0
Faces at the Bottom of the Well: The Permanence of Racism,203,"Bell, Derrick",Banned in Classrooms,nan,nan,nan,Pennsylvania,Central York School District,August 2021,Administrator,4.35,1341.0
Faith Ringgold (Getting to Know the World's Greatest Artists),2404,"Venezia, Mike",Banned in Classrooms,nan,nan,nan,Pennsylvania,Central York School District,August 2021,Administrator,4.05,38.0
Fallout (Crank Series),936,"Hopkins, Ellen",Banned Pending Investigation,nan,nan,nan,Michigan,Gladwin Community Schools,May 2022,Administrator,4.83,6.0
Fallout (Crank Series),937,"Hopkins, Ellen",Banned in Libraries and Classrooms,nan,nan,nan,Texas,Prosper Independent School District,March 2022,Administrator,4.83,6.0
Fan Art,2375,"Tregay, Sarah",Banned Pending Investigation,nan,nan,nan,Texas,North East Independent School District,December 2021,Administrator,3.75,7047.0
Fancy White Trash,743,"Geerling, Marjetta",Banned Pending Investigation,nan,nan,nan,Tennessee,Collierville Schools,February 2022,Administrator,3.81,810.0
Fancy White Trash,744,"Geerling, Marjetta",Banned in Libraries,nan,nan,nan,Texas,North East Independent School District,December 2021,Administrator,3.81,810.0
Fans of the Impossible Life,2080,"Scelsa, Kate",Banned Pending Investigation,nan,nan,nan,Texas,Granbury Independent School District,January 2022,Administrator,3.63,5956.0
"Far From the Tree: Parents, Children and the Search for Identity",2205,"Solomon, Andrew",Banned Pending Investigation,nan,nan,nan,Texas,North East Independent School District,December 2021,Administrator,4.26,21092.0
Far from Xanadu,1833,"Peters, Julie Anne",Banned in Libraries,nan,nan,nan,Texas,North East Independent School District,December 2021,Administrator,3.68,3992.0
Far from You,2128,"Sharpe, Tess",Banned Pending Investigation,nan,nan,nan,Texas,Granbury Independent School District,January 2022,Administrator,4.05,16371.0
Far from You,2129,"Sharpe, Tess",Banned Pending Investigation,nan,nan,nan,Texas,North East Independent School District,December 2021,Administrator,4.05,16371.0
Far from the Tree,212,"Benway, Robin",Banned in Libraries,nan,nan,nan,Indiana,Middlebury Community Schools,December 2021,Administrator,4.26,44588.0
Far from the Tree,213,"Benway, Robin",Banned Pending Investigation,nan,nan,nan,Tennessee,Hamilton County Schools,October 2021,Administrator,4.26,44588.0
Far from the Tree: How Children and Their Parents Learn to Accept One Another . . . Our Differences Unite Us,2203,"Solomon, Andrew",Banned Pending Investigation,"Calkhoven, Laurie",nan,nan,Tennessee,Collierville Schools,February 2022,Administrator,4.17,143.0
Far from the Tree: How Children and Their Parents Learn to Accept One Another . . . Our Differences Unite Us,2204,"Solomon, Andrew",Banned Pending Investigation,"Calkhoven, Laurie",nan,nan,Texas,North East Independent School District,December 2021,Administrator,4.17,143.0
Fat Angie (Fat Angie Series),367,"Charlton-Trujillo, E. E.",Banned Pending Investigation,nan,nan,nan,Tennessee,Collierville Schools,February 2022,Administrator,3.83,12.0
Fates and Furies,845,"Groff, Lauren",Banned Pending Investigation,nan,nan,nan,Florida,Walton County School District,April 2022,Administrator,3.58,139066.0
Fatty Legs: A True Story,1124,"Jordan-Fenton, Christy",Banned Pending Investigation,"Pokiak-Fenton, Margaret","Amini-Holmes, Liz",nan,Florida,Duval County Public Schools,January 2022,Administrator,4.09,3387.0
Feed,81,"Anderson, M. T.",Banned Pending Investigation,nan,nan,nan,Florida,Indian River County School District,November 2021,Administrator,3.85,59021.0
Feeling Wrong in Your Own Body: Understanding What It Means to Be Transgender,2104,"Seba, Jaime A.",Banned in Libraries,nan,nan,nan,Texas,North East Independent School District,December 2021,Administrator,3.33,21.0
Felix Ever After,328,"Callender, Kacen",Banned Pending Investigation,nan,nan,nan,Texas,Granbury Independent School District,January 2022,Administrator,4.25,60993.0
Felix Ever After,329,"Callender, Kacen",Banned Pending Investigation,nan,nan,nan,Texas,North East Independent School District,December 2021,Administrator,4.25,60993.0
Fences,2479,"Wilson, August",Banned Pending Investigation,nan,nan,nan,Kansas,Goddard Public Schools,November 2021,Administrator,4.02,61439.0
Festival of Colors,2120,"Sehgal, Surishtha",Banned Pending Investigation,"Sehgal, Kabir","Harrison, Vashti",nan,Florida,Duval County Public Schools,January 2022,Administrator,4.22,1337.0
Fifteen Hundred Miles from the Sun,2411,"Villa, Jonny Garza",Banned Pending Investigation,nan,nan,nan,Tennessee,Collierville Schools,February 2022,Administrator,4.16,4896.0
Fifty Shades of Grey (Fifty Shades Series),1036,"James, E. L.",Banned Pending Investigation,nan,nan,nan,Florida,Walton County School District,April 2022,Administrator,4.11,127448.0
Final Takedown,2137,"Sherrard, Brent R.",Banned in Libraries,nan,nan,nan,Texas,North East Independent School District,December 2021,Administrator,4.22,54.0
Finding Community,1977,"Rodi, Robert",Banned Pending Investigation,"Ross, Laura",nan,nan,Texas,North East Independent School District,December 2021,Administrator,4.03,2330.0
Fire Song,1117,"Jones, Adam Garnet",Banned Pending Investigation,nan,nan,nan,Tennessee,Collierville Schools,February 2022,Administrator,4.44,2496303.0
Fishing Day,1865,"Pinkney, Andrea Davis",Banned in Classrooms,nan,"Evans, Shane W.",nan,Pennsylvania,Central York School District,August 2021,Administrator,3.98,96.0
Flamer,472,"Curato, Mike",Banned in Libraries and Classrooms,nan,nan,nan,Florida,Palm Beach County School District,April 2022,Administrator,4.47,1122811.0
Flamer,473,"Curato, Mike",Banned Pending Investigation,nan,nan,nan,Michigan,Rochester Community Schools District,April 2022,Administrator,4.47,1122811.0
Flamer,474,"Curato, Mike",Banned in Libraries and Classrooms,nan,nan,nan,Oklahoma,Bixby Public Schools,June 2022,Administrator,4.47,1122811.0
Flamer,475,"Curato, Mike",Banned Pending Investigation,nan,nan,nan,Tennessee,Collierville Schools,February 2022,Administrator,4.47,1122811.0
Flamer,476,"Curato, Mike",Banned in Libraries,nan,nan,nan,Texas,Clear Creek Independent School District,February 2022,Administrator,4.47,1122811.0
Flamer,477,"Curato, Mike",Banned Pending Investigation,nan,nan,nan,Texas,Katy Independent School District,January 2022,Administrator,4.47,1122811.0
Flamer,478,"Curato, Mike",Banned in Libraries and Classrooms,nan,nan,nan,Texas,Keller Independent School District,November 2021,Formal Challenge,4.47,1122811.0
Flamer,479,"Curato, Mike",Banned in Libraries and Classrooms,nan,nan,nan,Texas,Klein Independent School District,May 2022,Administrator,4.47,1122811.0
Flamer,480,"Curato, Mike",Banned Pending Investigation,nan,nan,nan,Texas,North East Independent School District,December 2021,Administrator,4.47,1122811.0
Flamer,481,"Curato, Mike",Banned in Libraries and Classrooms,nan,nan,nan,Wisconsin,School District of Waukesha,December 2021,Administrator,4.47,1122811.0
