Title,index,Author,Type of Ban,Secondary Author(s),Illustrator(s),Translator(s),State,District,Date of Challenge/Removal,Origin of Challenge,Rating,Number of Reviews
"Allies: Real Talk About Showing Up, Screwing Up, And Trying Again",261,"Bourne, Shakirah",Banned Pending Investigation,"Levy, Dana Alison",nan,nan,Tennessee,Collierville Schools,February 2022,Administrator,4.33,372.0
Alma and How She Got Her Name,1478,"Martinez-Neal, Juana",Banned Pending Investigation,nan,nan,nan,Florida,Duval County Public Schools,January 2022,Administrator,4.4,5307.0
Alma and How She Got Her Name,1479,"Martinez-Neal, Juana",Banned in Classrooms,nan,nan,nan,Pennsylvania,Central York School District,August 2021,Administrator,4.4,5307.0
Almost Perfect,1162,"Katcher, Brian",Banned in Libraries and Classrooms,nan,nan,nan,Florida,Lee County Schools,March 2022,Administrator,3.87,8932.0
Almost Perfect,1163,"Katcher, Brian",Banned in Libraries,nan,nan,nan,Florida,Polk County Public Schools,January 2022,Administrator,3.87,8932.0
Almost Perfect,1164,"Katcher, Brian",Banned Pending Investigation,nan,nan,nan,Florida,Walton County School District,April 2022,Administrator,3.87,8932.0
Almost Perfect,1165,"Katcher, Brian",Banned in Libraries,nan,nan,nan,North Carolina,Iredell-Statesville School District,February 2022,Administrator,3.87,8932.0
Almost Perfect,1166,"Katcher, Brian",Banned Pending Investigation,nan,nan,nan,Texas,Granbury Independent School District,January 2022,Administrator,3.87,8932.0
Almost Perfect,1167,"Katcher, Brian",Banned Pending Investigation,nan,nan,nan,Texas,North East Independent School District,December 2021,Administrator,3.87,8932.0
Always Human (Always Human Series),1731,"North, Ari",Banned Pending Investigation,nan,nan,nan,Tennessee,Collierville Schools,February 2022,Administrator,3.4,21.0
Always my Dad,2513,"Wyeth, Sharon Dennis",Banned in Classrooms,nan,"Coln, Raul",nan,Pennsylvania,Central York School District,August 2021,Administrator,3.73,49.0
Amal Unbound,2034,"Saeed, Aisha",Banned in Classrooms,nan,nan,nan,Pennsylvania,Central York School District,August 2021,Administrator,4.18,17656.0
Amazing Grace (Grace Series),912,"Hoffman, Mary",Banned in Classrooms,nan,"Binch, Caroline",nan,Pennsylvania,Central York School District,August 2021,Administrator,4.34,59.0
Amelia Westlake Was Never Here,811,"Gough, Erin",Banned Pending Investigation,nan,nan,nan,Tennessee,Collierville Schools,February 2022,Administrator,3.91,3009.0
Amelia to Zora: Twenty-Six Women Who Changed the World,383,"Chin-Lee, Cynthia",Banned in Classrooms,nan,"Halsey, Megan; Addy, Sean",nan,Pennsylvania,Central York School District,August 2021,Administrator,4.23,404.0
American Born Chinese,2515,"Yang, Gene Luen",Banned in Libraries,nan,nan,nan,Mississippi,Madison County Schools,April 2022,Administrator,3.89,95009.0
American Street,2529,"Zoboi, Ibi",Banned in Classrooms,nan,nan,nan,Pennsylvania,Pennridge School District,August 2021,Administrator,4.0,20764.0
Amina's Voice (Amina's Voice Series),1148,"Kahn, Hena",Banned Pending Investigation,nan,nan,nan,Florida,Duval County Public Schools,January 2022,Administrator,4.22,1089.0
An African American and Latinx History of the United States,1753,"Ortiz, Paul",Banned in Classrooms,nan,nan,nan,Pennsylvania,Central York School District,August 2021,Administrator,4.24,2199.0
An African American and Latinx History of the United States,1754,"Ortiz, Paul",Banned Pending Investigation,nan,nan,nan,Texas,Klein Independent School District,November 2021,Administrator,4.24,2199.0
An African American and Latinx History of the United States,1755,"Ortiz, Paul",Banned Pending Investigation,nan,nan,nan,Texas,North East Independent School District,December 2021,Administrator,4.24,2199.0
An Indigenous Peoples' History of the United States,581,"Dunbar-Ortiz, Roxanne",Banned in Classrooms,nan,nan,nan,Pennsylvania,Central York School District,August 2021,Administrator,4.37,16822.0
Ana on the Edge,2074,"Sass, A. J.",Banned Pending Investigation,nan,nan,nan,Texas,North East Independent School District,December 2021,Administrator,4.39,1435.0
And She Was,2406,"Verdi, Jessica",Banned Pending Investigation,nan,nan,nan,Tennessee,Collierville Schools,February 2022,Administrator,3.94,18695.0
